file_name,mask
natural_other_400_sg/train_natural_nokia_patient42257_study2_view1_frontal_mask_0.jpg,natural_other_400_sg_mask/train_natural_nokia_patient42257_study2_view1_frontal_mask_0.jpg
natural_other_400_sg/train_natural_nokia_patient42257_study2_view1_frontal_mask_1.jpg,natural_other_400_sg_mask/train_natural_nokia_patient42257_study2_view1_frontal_mask_1.jpg
natural_other_800_sg/train_natural_nokia_patient45867_study1_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient45867_study1_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient45867_study1_view1_frontal_mask_1.jpg,natural_other_800_sg_mask/train_natural_nokia_patient45867_study1_view1_frontal_mask_1.jpg
natural_other_600_sg/train_natural_nokia_patient40394_study10_view1_frontal_mask_0.jpg,natural_other_600_sg_mask/train_natural_nokia_patient40394_study10_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient48386_study3_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient48386_study3_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient48386_study3_view1_frontal_mask_1.jpg,natural_other_800_sg_mask/train_natural_nokia_patient48386_study3_view1_frontal_mask_1.jpg
natural_other_800_sg/train_natural_nokia_patient48386_study3_view1_frontal_mask_2.jpg,natural_other_800_sg_mask/train_natural_nokia_patient48386_study3_view1_frontal_mask_2.jpg
natural_other_800_sg/train_natural_nokia_patient48386_study3_view1_frontal_mask_3.jpg,natural_other_800_sg_mask/train_natural_nokia_patient48386_study3_view1_frontal_mask_3.jpg
natural_other_800_sg/train_natural_nokia_patient17988_study4_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient17988_study4_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient49218_study2_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_nokia_patient49218_study2_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient49218_study2_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_nokia_patient49218_study2_view1_frontal_mask_1.jpg
natural_other_0_sg/train_natural_nokia_patient49218_study2_view1_frontal_mask_2.jpg,natural_other_0_sg_mask/train_natural_nokia_patient49218_study2_view1_frontal_mask_2.jpg
natural_other_1000_sg/train_natural_nokia_patient49218_study2_view1_frontal_mask_0.jpg,natural_other_1000_sg_mask/train_natural_nokia_patient49218_study2_view1_frontal_mask_0.jpg
natural_other_1000_sg/train_natural_nokia_patient49218_study2_view1_frontal_mask_1.jpg,natural_other_1000_sg_mask/train_natural_nokia_patient49218_study2_view1_frontal_mask_1.jpg
natural_other_0_sg/train_natural_nokia_patient15753_study14_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_nokia_patient15753_study14_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient15753_study14_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_nokia_patient15753_study14_view1_frontal_mask_1.jpg
natural_other_800_sg/train_natural_nokia_patient27285_study2_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient27285_study2_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient27285_study2_view1_frontal_mask_1.jpg,natural_other_800_sg_mask/train_natural_nokia_patient27285_study2_view1_frontal_mask_1.jpg
natural_other_0_sg/train_natural_nokia_patient12963_study32_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_nokia_patient12963_study32_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient12963_study32_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_nokia_patient12963_study32_view1_frontal_mask_1.jpg
natural_other_0_sg/train_natural_nokia_patient12963_study32_view1_frontal_mask_2.jpg,natural_other_0_sg_mask/train_natural_nokia_patient12963_study32_view1_frontal_mask_2.jpg
natural_other_800_sg/train_natural_nokia_patient58895_study3_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient58895_study3_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient58895_study3_view1_frontal_mask_1.jpg,natural_other_800_sg_mask/train_natural_nokia_patient58895_study3_view1_frontal_mask_1.jpg
natural_other_400_sg/train_natural_iphone_patient25386_study2_view1_frontal_mask_0.jpg,natural_other_400_sg_mask/train_natural_iphone_patient25386_study2_view1_frontal_mask_0.jpg
natural_other_400_sg/train_natural_iphone_patient25386_study2_view1_frontal_mask_1.jpg,natural_other_400_sg_mask/train_natural_iphone_patient25386_study2_view1_frontal_mask_1.jpg
natural_other_400_sg/train_natural_iphone_patient25386_study2_view1_frontal_mask_2.jpg,natural_other_400_sg_mask/train_natural_iphone_patient25386_study2_view1_frontal_mask_2.jpg
natural_other_400_sg/train_natural_iphone_patient25386_study2_view1_frontal_mask_3.jpg,natural_other_400_sg_mask/train_natural_iphone_patient25386_study2_view1_frontal_mask_3.jpg
natural_other_200_sg/train_natural_nokia_patient29442_study9_view1_frontal_mask_0.jpg,natural_other_200_sg_mask/train_natural_nokia_patient29442_study9_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient16417_study3_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient16417_study3_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient06654_study2_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient06654_study2_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient37910_study8_view1_frontal_mask_0.jpg,natural_other_800_sg_mask/train_natural_nokia_patient37910_study8_view1_frontal_mask_0.jpg
natural_other_800_sg/train_natural_nokia_patient37910_study8_view1_frontal_mask_1.jpg,natural_other_800_sg_mask/train_natural_nokia_patient37910_study8_view1_frontal_mask_1.jpg
natural_other_800_sg/train_natural_nokia_patient37910_study8_view1_frontal_mask_2.jpg,natural_other_800_sg_mask/train_natural_nokia_patient37910_study8_view1_frontal_mask_2.jpg
natural_other_0_sg/train_natural_nokia_patient09623_study1_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_nokia_patient09623_study1_view1_frontal_mask_0.jpg
natural_other_1000_sg/train_natural_nokia_patient09623_study1_view1_frontal_mask_0.jpg,natural_other_1000_sg_mask/train_natural_nokia_patient09623_study1_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient06560_study4_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_nokia_patient06560_study4_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient06560_study4_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_nokia_patient06560_study4_view1_frontal_mask_1.jpg
natural_other_1000_sg/train_natural_nokia_patient06560_study4_view1_frontal_mask_0.jpg,natural_other_1000_sg_mask/train_natural_nokia_patient06560_study4_view1_frontal_mask_0.jpg
natural_other_1000_sg/train_natural_nokia_patient06560_study4_view1_frontal_mask_1.jpg,natural_other_1000_sg_mask/train_natural_nokia_patient06560_study4_view1_frontal_mask_1.jpg
natural_other_0_sg/train_natural_nokia_patient40268_study2_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_nokia_patient40268_study2_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient40268_study2_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_nokia_patient40268_study2_view1_frontal_mask_1.jpg
natural_other_200_sg/train_natural_nokia_patient12963_study10_view1_frontal_mask_0.jpg,natural_other_200_sg_mask/train_natural_nokia_patient12963_study10_view1_frontal_mask_0.jpg
natural_other_200_sg/train_natural_nokia_patient12963_study10_view1_frontal_mask_1.jpg,natural_other_200_sg_mask/train_natural_nokia_patient12963_study10_view1_frontal_mask_1.jpg
other_0_sg/train_synthetic_digital_patient03296_study3_view1_frontal_mask_0.jpg,other_0_sg_mask/train_synthetic_digital_patient03296_study3_view1_frontal_mask_0.jpg
other_0_sg/train_synthetic_digital_patient03296_study3_view1_frontal_mask_1.jpg,other_0_sg_mask/train_synthetic_digital_patient03296_study3_view1_frontal_mask_1.jpg
other_0_sg/train_synthetic_digital_patient03296_study3_view1_frontal_mask_2.jpg,other_0_sg_mask/train_synthetic_digital_patient03296_study3_view1_frontal_mask_2.jpg
natural_other_0_sg/train_natural_nokia_patient14590_study8_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_nokia_patient14590_study8_view1_frontal_mask_0.jpg
natural_other_0_sg/train_natural_nokia_patient14590_study8_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_nokia_patient14590_study8_view1_frontal_mask_1.jpg
