,file_name,mask
0,natural_other_0_sg/train_natural_iphone_patient02397_study7_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient02397_study7_view1_frontal_mask_0.jpg
1,natural_other_0_sg/train_natural_iphone_patient02397_study7_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_iphone_patient02397_study7_view1_frontal_mask_1.jpg
2,natural_other_0_sg/train_natural_iphone_patient04899_study3_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient04899_study3_view1_frontal_mask_0.jpg
3,natural_other_0_sg/train_natural_iphone_patient04899_study3_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_iphone_patient04899_study3_view1_frontal_mask_1.jpg
4,natural_other_0_sg/train_natural_iphone_patient04899_study3_view1_frontal_mask_2.jpg,natural_other_0_sg_mask/train_natural_iphone_patient04899_study3_view1_frontal_mask_2.jpg
5,natural_other_0_sg/train_natural_iphone_patient08952_study1_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient08952_study1_view1_frontal_mask_0.jpg
6,natural_other_0_sg/train_natural_iphone_patient08952_study1_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_iphone_patient08952_study1_view1_frontal_mask_1.jpg
7,natural_other_0_sg/train_natural_iphone_patient08952_study1_view1_frontal_mask_2.jpg,natural_other_0_sg_mask/train_natural_iphone_patient08952_study1_view1_frontal_mask_2.jpg
8,natural_other_0_sg/train_natural_iphone_patient08952_study5_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient08952_study5_view1_frontal_mask_0.jpg
9,natural_other_0_sg/train_natural_iphone_patient08952_study5_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_iphone_patient08952_study5_view1_frontal_mask_1.jpg
10,natural_other_0_sg/train_natural_iphone_patient19635_study11_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient19635_study11_view1_frontal_mask_0.jpg
11,natural_other_0_sg/train_natural_iphone_patient19635_study13_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient19635_study13_view1_frontal_mask_0.jpg
12,natural_other_0_sg/train_natural_iphone_patient21597_study9_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient21597_study9_view1_frontal_mask_0.jpg
13,natural_other_0_sg/train_natural_iphone_patient21597_study9_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_iphone_patient21597_study9_view1_frontal_mask_1.jpg
14,natural_other_0_sg/train_natural_iphone_patient25743_study4_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient25743_study4_view1_frontal_mask_0.jpg
15,natural_other_0_sg/train_natural_iphone_patient25743_study4_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_iphone_patient25743_study4_view1_frontal_mask_1.jpg
16,natural_other_0_sg/train_natural_iphone_patient25743_study4_view1_frontal_mask_2.jpg,natural_other_0_sg_mask/train_natural_iphone_patient25743_study4_view1_frontal_mask_2.jpg
17,natural_other_0_sg/train_natural_iphone_patient29620_study5_view1_frontal_mask_0.jpg,natural_other_0_sg_mask/train_natural_iphone_patient29620_study5_view1_frontal_mask_0.jpg
18,natural_other_0_sg/train_natural_iphone_patient29620_study5_view1_frontal_mask_1.jpg,natural_other_0_sg_mask/train_natural_iphone_patient29620_study5_view1_frontal_mask_1.jpg
